exp,plate,genotype,rep,label,pixel,mm
4,A,Col,1,2016pifgi2exp1a_Col.avi:0419-0175-0056:209.50 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0418-0175-0056:209.00 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0417-0175-0056:208.50 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0416-0175-0056:208.00 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0415-0175-0056:207.50 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0414-0175-0056:207.00 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0413-0175-0056:206.50 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0412-0175-0056:206.00 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0411-0175-0056:205.50 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0410-0175-0056:205.00 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0409-0175-0056:204.50 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0408-0175-0056:204.00 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0407-0175-0056:203.50 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0406-0175-0056:203.00 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0405-0175-0056:202.50 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0404-0175-0056:202.00 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0403-0175-0056:201.50 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0402-0175-0056:201.00 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0401-0175-0056:200.50 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0400-0175-0056:200.00 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0399-0175-0056:199.50 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0398-0175-0056:199.00 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0397-0175-0056:198.50 s,51.202,
