exp,plate,genotype,rep,label,pixel,mm
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0613-0119-0185:306.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0612-0119-0185:306.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0611-0119-0185:305.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0610-0119-0185:305.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0609-0119-0185:304.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0608-0119-0185:304.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0607-0119-0185:303.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0606-0119-0185:303.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0605-0119-0185:302.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0604-0119-0185:302.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0603-0119-0185:301.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0602-0119-0185:301.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0601-0119-0185:300.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0600-0119-0185:300.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0599-0119-0185:299.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0598-0119-0185:299.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0597-0119-0185:298.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0596-0119-0185:298.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0595-0119-0185:297.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0594-0119-0185:297.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0593-0119-0185:296.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0592-0119-0185:296.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0591-0119-0185:295.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0590-0119-0185:295.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0589-0119-0185:294.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0588-0119-0185:294.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0587-0119-0185:293.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0586-0119-0185:293.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0585-0119-0185:292.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0584-0119-0185:292.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0583-0119-0185:291.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0582-0119-0185:291.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0581-0119-0185:290.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0580-0119-0185:290.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0579-0119-0185:289.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0578-0119-0185:289.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0577-0119-0185:288.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0576-0119-0185:288.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0575-0119-0185:287.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0574-0119-0185:287.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0573-0119-0185:286.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0572-0119-0185:286.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0571-0119-0185:285.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0570-0119-0185:285.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0569-0119-0185:284.50 s,64.92,
